[INFO] Tracklet folders on disk: 1427
[INFO] Labels in gt json:        1427
[WARN] Skipping tracklet=100 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=85 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=851 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=852 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=856 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=857 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=858 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=860 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=861 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=862 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=863 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=864 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=869 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=871 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=872 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=876 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=877 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=878 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=880 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=881 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=882 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=883 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=888 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=889 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=894 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=896 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=897 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=898 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=9 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=906 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=917 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=930 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=936 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=937 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=938 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=939 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=94 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=947 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=949 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=950 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=951 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=952 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=954 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=955 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=957 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=958 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=960 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=978 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=984 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=989 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=997 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=998 due to label issue: Jersey number must be non-negative, got: -1
[OK] Wrote index: /scratch/st-li1210-1/yijun/519Project/jersey-number-pipeline/proposed_pipeline/splits/train_index.csv (560744 frames)
[OK] Wrote train split: /scratch/st-li1210-1/yijun/519Project/jersey-number-pipeline/proposed_pipeline/splits/train_split.csv | tracklets=1142
[OK] Wrote val split:   /scratch/st-li1210-1/yijun/519Project/jersey-number-pipeline/proposed_pipeline/splits/val_split.csv | tracklets=285
[INFO] Jersey range: min=1 max=93 unique=44
[INFO] Ones digit unique=10; tens_present_frames=346894/560744
[WARN] Skipped 403 tracklets due to invalid labels.
